도서관 일련번호,name,구 코드,구명,주소,전화번호,url,운영시간,정기 휴관일,lat,lon,2019_has_cafeteria,2025_has_cafeteria,has_cafe,owned_by,etc
1935,강남구립못골도서관,8,강남구,서울특별시 강남구 자곡로 116,02-459-5522,http://library.gangnam.go.kr/mglib,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매주 화요일 및 법정공휴일,37.47153836,127.096582,No,No,No,자치구,
1066,강남역삼푸른솔도서관,8,강남구,서울특별시 강남구 테헤란로8길 36. 4층,02-2051-1178,https://library.gangnam.go.kr/ysplib/index.do,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,37.4964968,127.0320274,No,No,No,자치구,
2815,개포하늘꿈도서관,8,강남구,서울특별시 강남구 개포로 110길 54,02-451-1511,https://library.gangnam.go.kr/hnkklib/,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,37.4906692944468,127.080356908422,,No,No,자치구,2023년 개관
48,논현도서관,8,강남구,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,02-3443-7650,https://library.gangnam.go.kr/nhlib,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,37.5172779092976,127.037187913597,No,No,No,자치구,
2843,논현문화마루도서관,8,강남구,"서울특별시 강남구 논현로131길 40, 4~5층",02-512-8580,https://library.gangnam.go.kr/nmmlib,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,37.51384422,127.02710693,,No,No,자치구,2024년 개관
49,대치도서관,8,강남구,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,02-565-6666,https://library.gangnam.go.kr/dchlib/index.do,평일 : 09:00~21:00. 주말 : 09:00~17:00,매주 화요일 및 법정공휴일,37.4996157705058,127.065915414443,No,No,No,자치구,
1402,도곡정보문화도서관,8,강남구,서울특별시 강남구 도곡로18길 57,1644-3227,https://library.gangnam.go.kr/dogoklib,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,37.4883101,127.0388803,Yes,No,No,자치구,
2133,못골한옥어린이도서관,8,강남구,서울특별시 강남구 자곡로7길 3?,02-2226-5930,https://library.gangnam.go.kr/hchildlib/index.do,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,37.4733061524019,127.099727862691,No,No,No,자치구,
21,서울특별시교육청강남도서관,8,강남구,서울특별시 강남구 선릉로116길 45,02-3448-4741~5,https://gnlib.sen.go.kr,"평일 : 09:00~20:00, 주말 : 09:00~17:00","1,3주 수요일 및 법정공휴일",37.51368143,127.0468374,No,No,No,교육청,
22,서울특별시교육청개포도서관,8,강남구,서울특별시 강남구 선릉로4길 30,02-3460-8200,https://gplib.sen.go.kr,"평일 : 09:00~20:00, 주말 : 09:00~17:00","2,4주 목요일 및 법정공휴일",37.48308019,127.063867,Yes,No,No,교육청,
81,역삼도서관,8,강남구,"서울특별시 강남구 역삼로7길 16, 5층",02-508-1139,http://library.gangnam.go.kr/yslib,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,37.4953732068069,127.033283840382,No,No,No,자치구,
2717,열린도서관,8,강남구,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,02-3412-3970,https://library.gangnam.go.kr/yllib/,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,37.4840224010593,127.084459720088,,No,No,자치구,2019년 재개관
2760,일원라온영어도서관,8,강남구,서울특별시 강남구 영동대로 22 B1(일원동 743),02-6712-0595,https://library.gangnam.go.kr/englib/index.do,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,37.4910941147932,127.074163955752,,No,No,자치구,2022년 개관
